,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0,0.1,1,0.1.1,1.1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-08-25 12:00:00,4.176157,4.210095,4.2008790000000005,4.210095,4.2008790000000005,4.20445,4.230364,4.194923,4.236847,4.212155999999999,4.2412220000000005,4.1872597,4.178298000000002,4.2229790000000005,4.249929,4.2322087,4.249644,4.208367,4.205698,4.155551999999999,4.225145,4.2032620000000005,4.214435,4.182218,4.254461,4.196103,4.183868,4.202599,4.157883999999999,4.161593,4.218656,4.2514400000000006,4.178147,4.2451057,4.210948,4.209624,4.219185,4.175274,4.186514,4.192099,4.1914370000000005,4.1601167000000006,4.194272,4.166944,4.206179,4.183253,4.179825,4.171283,4.234764
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2017-08-25 12:02:00,4.1694303,4.1848917000000005,4.179747,4.1848917000000005,4.179747,4.1826620000000005,4.1884169999999985,4.178158799999999,4.1942506,4.1856017,4.1942330000000005,4.173757,4.170829,4.1834574,4.196233,4.1898193,4.197446,4.183054,4.1837163,4.155551999999999,4.1896559999999985,4.1825385000000015,4.1859436,4.1717815,4.198693799999999,4.179138,4.1735225,4.1811028,4.1575760000000015,4.159599,4.1885157,4.197362,4.170658,4.196952,4.177909,4.1846337,4.1843395,4.1692734,4.1743455,4.1764779999999995,4.1769123,4.1593290000000005,4.178575,4.1635860000000005,4.1835093,4.172026,4.1705146,4.166556,4.191597
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2017-08-25 12:04:00,4.165368,4.1715994,4.1685977,4.1715994,4.1685977,4.1709056,4.169331,4.1693153,4.174342,4.1717877,4.1739120000000005,4.166716,4.166093,4.167368,4.173826999999998,4.1703715,4.174956,4.17049,4.171403,4.155551999999999,4.172763,4.170965,4.1717515,4.1667260000000015,4.175256,4.169722,4.167421,4.170332,4.1573796000000005,4.1591864,4.172846,4.1746864000000015,4.1660085,4.1751785,4.165481,4.1714964,4.1679826,4.165262,4.1678143,4.1687317,4.1688747,4.1587987,4.1695495000000005,4.1618433,4.1712184,4.1668553,4.1661267,4.163723,4.1721067
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2017-08-25 12:06:00,4.1623178,4.1648903,4.1626363,4.1648903,4.1626363,4.1646333,4.16275,4.163941,4.1659875,4.1649394,4.16518,4.1619269999999995,4.162701,4.1619077,4.1646557,4.163206,4.1661043,4.163563,4.1649704,4.155551999999999,4.165244,4.1647553,4.1648765,4.1628804,4.1662145,4.1641900000000005,4.16327,4.1641126,4.1571913,4.158683,4.1654870000000015,4.1659120000000005,4.1626463,4.1663775,4.161099,4.1648309999999995,4.1621976,4.162318,4.163355,4.16364,4.1638303,4.1583004,4.164181,4.1604470000000005,4.1647916,4.1627183,4.1626005,4.1614794999999996,4.163965
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2017-08-25 12:08:00,4.160311,4.1615267,4.159945,4.1615267,4.159945,4.1614113,4.159975,4.161054,4.1620917,4.161536,4.161193,4.1595889999999995,4.1605425,4.159524,4.1609344,4.1602106,4.1620874,4.1604204,4.1616635,4.155551999999999,4.1614447,4.1615334000000015,4.1612787,4.1604314,4.16214,4.161215,4.160799,4.1607633,4.157007,4.1579967,4.1618857,4.1619544,4.160501,4.1623230000000015,4.159084,4.1614866,4.1596804,4.160362,4.16078,4.1606097,4.1610303,4.1578827,4.1612515,4.1592574,4.1615105,4.1601167000000006,4.1602483,4.1598544,4.1605916
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2017-08-25 12:10:00,4.159025,4.159668,4.1585407,4.159668,4.1585407,4.1596084000000015,4.158507,4.159402,4.1600122000000015,4.1596646,4.159242,4.1583285000000005,4.1591809999999985,4.158246,4.159176,4.1586666,4.159971700000002,4.1588173,4.159807,4.155551999999999,4.1593943,4.1597176,4.15931,4.15888,4.1599784,4.1595097,4.1593027000000005,4.159015,4.1568437000000005,4.1574216,4.159916,4.1596174,4.159148,4.1601686,4.158004,4.159638,4.158374,4.1590924,4.159252,4.1589394,4.1594,4.1575136,4.1595580000000005,4.1583905,4.159679,4.158658,4.158768,4.158754,4.1589146
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2017-08-25 12:12:00,4.1581782999999986,4.1585480000000015,4.1577196,4.1585480000000015,4.1577196,4.1585135000000015,4.1594667,4.15831,4.158782,4.1585402,4.158105399999998,4.1575785000000005,4.1582919999999985,4.1588516,4.1618260000000005,4.158773,4.1589613,4.1578946000000006,4.1586766000000015,4.155551999999999,4.158243,4.1586099999999995,4.158193,4.15794,4.1602774,4.15846,4.1583495,4.1580167,4.156696299999999,4.157006299999999,4.158735,4.1598372,4.1582646,4.1588980000000015,4.1573496,4.158524,4.15759,4.1582475,4.158296,4.1579704,4.158387,4.157202,4.1585093,4.1577497,4.1585684,4.157795,4.15787,4.1580043,4.1579356
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2017-08-25 12:14:00,4.1575989999999985,4.1578254999999995,4.1571965,4.1578254999999995,4.1571965,4.1578045,4.163055,4.1575966,4.157998,4.157817,4.1592712,4.1570973,4.157686,4.1618924,4.1657147000000005,4.162461,4.161077,4.157316000000002,4.157941,4.155551999999999,4.1575419999999985,4.157889,4.1575093,4.1573443,4.163791000000002,4.1577735,4.157712,4.1573972999999995,4.1565633,4.1567087,4.1579739999999985,4.163526,4.1576633,4.158388599999999,4.1574472999999985,4.1578064,4.15781,4.157665,4.1576657,4.1573652999999995,4.157721,4.1569457000000005,4.15782,4.1572566,4.157849,4.157247,4.157298,4.1574800000000005,4.1595426
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2017-08-25 12:16:00,4.1571884,4.1573343000000005,4.156843,4.1573343000000005,4.156843,4.1573199999999995,4.1652365,4.1571217,4.1576476000000016,4.157326,4.1628785000000015,4.15677,4.1572585,4.1639123,4.167482,4.1652303,4.164447,4.15693,4.157437,4.155551999999999,4.157086,4.157394999999998,4.157062000000002,4.156946,4.1663303,4.157302,4.157267,4.156986,4.1564455,4.1564913,4.1574564,4.1661730000000015,4.157239,4.1603293,4.159498,4.1573186,4.160342,4.1572495,4.1572022,4.156962999999998,4.157262,4.156738,4.1573449999999985,4.1568974999999995,4.1573577,4.1568785,4.156914,4.1571026,4.163176
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2017-08-25 12:18:00,4.156888,4.1569858,4.1565933,4.1569858,4.1565933,4.1569757,4.1658926,4.1567940000000005,4.1592373999999985,4.1569786,4.165239,4.156537999999999,4.156946,4.164605,4.167882,4.166214,4.166203,4.156658999999999,4.1570773,4.155551999999999,4.15681,4.1570425,4.1567535000000015,4.156668,4.1672397000000005,4.1569652999999995,4.1569457000000005,4.1566997,4.1563435,4.156329,4.1570883,4.1671295,4.1569295,4.1634784,4.1612835,4.156973000000002,4.162445,4.1569443,4.1568613,4.156682,4.156933,4.156569,4.1570044,4.1566358,4.157008,4.1566195,4.156645,4.156823,4.165247
