,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-08-25 12:00:00,9.664984,9.699641999999999,9.644647,9.723564999999999,9.643072,9.65827,9.583731,9.724079,9.563543,9.736616,9.929054,9.544119,9.667574,9.914003,9.894361,9.613741000000001,9.60934,9.625361999999999,9.70686,9.555814999999999,9.861027,9.726931,9.670817,9.88097,9.620058,9.891558,9.63459,9.572488,9.655251,9.794955999999999,9.768999,9.837838,9.748752,9.732277,9.589874,9.918374,9.865707,9.71771,9.764554,9.577492999999999,9.671683,9.879946,9.886246,9.728359,9.640488,9.679489,9.8041935,9.60197,9.857094,9.756331,9.829206,9.554712,9.595557,9.58557,9.69047,9.778747000000001,9.758272,9.666707,9.848297,9.682551,9.920337,9.652599,9.567975,9.907618,9.884028,9.903164,9.859074
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2017-08-25 12:02:00,9.524851,9.533845,9.507187,9.588086,9.517679,9.521588000000001,9.496612,9.541423,9.488224,9.626535,10.026072,9.481024,9.524262,9.7933235,9.980385,9.505891,9.504708,9.490894,9.535736,9.484386,9.923316,9.583461,9.524405,9.957156,9.508259,9.972555,9.512765,9.490447,9.51961,9.700574000000001,9.617095,9.883548,9.659153,9.542750999999999,9.497191,10.013224000000001,9.900984,9.5742655,9.617118,9.492704,9.528071,9.946723,9.970345,9.54113,9.479503,9.528336999999999,9.681894,9.474213,9.919366,9.677665,9.822078,9.485222,9.50125,9.449766,9.530166,9.664495,9.66201,9.525795,9.889479,9.528398,9.990471,9.522278,9.4887905,9.954684,9.946568,9.764596000000001,9.92451
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2017-08-25 12:04:00,9.610842,9.726609,9.549315,9.712057000000001,9.568994,9.627289,9.477858,9.756238,9.466802,9.709634,9.941967,9.462168,9.657018,9.753862,9.901306,9.483069,9.485482,9.503274000000001,9.53982,9.466009,9.860417,9.725634,9.666773,9.881247,9.486068,9.926383999999999,9.500427,9.472215,9.606218,9.842448,9.566794,9.8452635,9.738212,9.7779255,9.478172,9.96376,9.845566,9.582275,9.801211,9.471923,9.653544,9.919757,9.904855,9.779625,9.519889,9.685121,9.671265,9.479044,9.871866,9.740316,9.870647,9.464636,9.48356,9.460997,9.719502,9.816092,9.709432,9.615658,9.876102,9.697405999999999,9.906034,9.599572,9.470225,9.880021000000001,9.934282,9.72076,9.867332
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2017-08-25 12:06:00,9.618621,9.686283,9.569401,9.671582,9.611709,9.643672,9.481046,9.704549,9.459553,9.661931,9.827149,9.454889999999999,9.655635,9.665666,9.794976,9.570419000000001,9.542992,9.530725,9.502412,9.461541,9.764667,9.684262,9.668341,9.778555,9.589668,9.825007000000001,9.628313,9.469875,9.652257,9.763991,9.51183,9.758538,9.684239,9.7180395,9.476923,9.856597,9.746022,9.551034,9.735821,9.468486,9.643164,9.821909,9.8026705,9.718824,9.521343,9.664191,9.603591,9.492122,9.778779,9.681428,9.78574,9.457,9.488544,9.45769,9.687653,9.746079,9.652899,9.620966000000001,9.78648,9.674073,9.788154,9.6166935,9.466784,9.766276,9.836282,9.634619,9.773179
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2017-08-25 12:08:00,9.585963,9.6434965,9.5562315,9.617614999999999,9.588217,9.612795,9.482174,9.655774000000001,9.457976,9.60566,9.753996,9.453489,9.621357,9.620059,9.72633,9.581188000000001,9.565491,9.521537,9.477681,9.46158,9.698943,9.630548,9.630688,9.711732000000001,9.586091,9.753402000000001,9.605618,9.470423,9.619181,9.704578,9.486749,9.693163,9.625223,9.667748,9.5111065,9.77917,9.681707,9.51539,9.679273,9.468518,9.608934,9.751445,9.733467999999998,9.669095,9.507091,9.626985000000001,9.561106,9.495753,9.712376,9.621597999999999,9.722665,9.455124,9.521373,9.459913,9.645301,9.687698,9.593564,9.587566,9.720353,9.634934,9.721292,9.588498,9.467061,9.701241,9.764057,9.592857,9.706931
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2017-08-25 12:10:00,9.55384,9.606257000000001,9.531436,9.579825999999999,9.563149,9.583765,9.496393,9.616211999999999,9.4576025,9.568878,9.800077,9.453419,9.590263,9.646647999999999,9.682567,9.562644,9.551403,9.509165,9.464255,9.461367999999998,9.657082,9.592383,9.598229,9.6692505,9.5653925,9.706451,9.57987,9.468825,9.589676,9.659203999999999,9.471891,9.650962,9.586946,9.626562,9.531387,9.746269999999999,9.641993,9.496449,9.636227,9.501327,9.577298,9.704325,9.68859,9.627691,9.490568,9.593625999999999,9.539474,9.487009,9.668869,9.584147,9.676542,9.454766000000001,9.526201,9.459144,9.608994,9.643918,9.558588,9.555019,9.67567,9.600507,9.746028,9.5610285,9.466028,9.678948,9.715854,9.58677,9.6641
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2017-08-25 12:12:00,9.530754,9.578305,9.511686,9.555619,9.542557,9.560383,9.504303,9.587027,9.472413,9.545662,9.876218,9.453228,9.565347,9.70447,9.679036,9.545067999999999,9.535684,9.497060000000001,9.456888,9.460013,9.627937,9.566892999999999,9.572338,9.639324,9.546981,9.675774,9.5586,9.47915,9.566027,9.625299,9.463502,9.622071,9.56264,9.595695,9.523578,9.827187,9.614514,9.485816,9.604222,9.514944999999999,9.552879,9.670169,9.657248,9.596642,9.477257,9.567673,9.525369,9.478893,9.638667,9.559796,9.642437,9.454479,9.515039,9.454274,9.580838,9.611393,9.537657,9.531807,9.643788,9.573666000000001,9.816805,9.538286,9.463826,9.736094,9.679735,9.64363,9.634464
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2017-08-25 12:14:00,9.51526,9.557656,9.498383,9.538253,9.525416,9.541734,9.497697,9.565433,9.496965,9.530472999999999,9.9137,9.452632000000001,9.546051,9.727294,9.732833,9.530361,9.521653,9.487202,9.453188,9.458148,9.606127,9.547255499999999,9.552533,9.650362,9.531718,9.724323,9.541909,9.4937,9.547619,9.599956500000001,9.458582,9.599571000000001,9.545029,9.573069,9.512476,9.88358,9.594029,9.478972,9.5804205,9.509373,9.534321,9.654530000000001,9.68809,9.573935,9.470001,9.547953999999999,9.514287,9.471702,9.614965,9.542985,9.616188,9.453918,9.50374,9.450109,9.559911,9.5871315,9.523841,9.516227,9.618436,9.553496,9.854071,9.520857000000001,9.47867,9.781697,9.678655,9.673397,9.61164
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2017-08-25 12:16:00,9.503399,9.541464,9.488926,9.524237,9.5118885,9.526846,9.489853,9.5482855,9.498713,9.519014,9.91957,9.451722,9.530739,9.72781,9.768807,9.518228,9.510028,9.479353,9.449943,9.45618,9.586575,9.531655,9.536757,9.688974,9.519172,9.769721,9.528388,9.491593,9.532893,9.580196,9.454747,9.579819,9.530543,9.555383,9.502567,9.907769,9.58433,9.47505,9.561669,9.501331,9.519816,9.699883999999999,9.731125,9.556359,9.466182,9.532419,9.505124,9.466269,9.594501,9.529326,9.5955105,9.457409,9.49418,9.446873,9.543468,9.567973,9.513951,9.504261,9.597648,9.53755,9.861709,9.507798,9.487069,9.799748,9.730204,9.679753999999999,9.591493
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2017-08-25 12:18:00,9.493897,9.528444,9.481142,9.513013,9.501292,9.514937,9.482992,9.534464,9.494267,9.509158,9.906489,9.450657000000001,9.51846,9.716652,9.783509,9.508361,9.500548,9.472878,9.446582,9.454277000000001,9.592553,9.519485000000001,9.52392,9.713229,9.509011,9.794152,9.517188,9.486157,9.52084,9.564022,9.450306,9.562978999999999,9.518773,9.540988,9.494349,9.909157,9.604884,9.470939,9.546443,9.494,9.508318,9.735551,9.75579,9.541967,9.461841,9.520042,9.497794,9.462156,9.580682,9.517839,9.578521,9.4749365,9.486326,9.444324499999999,9.530139,9.552249,9.505013,9.494676,9.580259,9.524703,9.850476,9.497715,9.484791,9.797138,9.765722,9.673483000000001,9.5865345
